Distribution1,164748200528851616583717463776103914545,40000,1
Distribution1,168115964568249150932374346772655008570,40000,1
Distribution1,50528190131582159860412879931916903556,40000,1
Distribution1,3177903851643323244079429381819552126,40000,1
Distribution1,213073824316040840456797222203427582792,40000,1
Distribution1,38926500062531649374556721622609804407,40000,1
Distribution1,160818070427991677217538403019895165159,40000,1
Distribution1,151579507350018155403639963175503739551,40000,1
Distribution1,98765159984087644181160263622524448009,40000,1
Distribution1,7761210428836278989473634184718017866,40000,1
Distribution1,322242214958837096853628815716234603590,4000,2
Distribution1,141234137227753635302261585993584584465,4000,2
Distribution1,313177875401062180068483449671119674738,4000,2
Distribution1,125888155389193660544115163789783811067,4000,2
Distribution1,173669223968572230139390734812828616507,4000,2
Distribution1,136191413097362619197438876351502937771,4000,2
Distribution1,180005843783740677597524669535780062169,4000,2
Distribution1,183112856446369579176285045418811606316,4000,2
Distribution1,196969276177905738326119795176227866779,4000,2
Distribution1,52468100160042124630740714503165199283,4000,2
